"","link","synopsis","summaries"
"11","http://www.imdb.com/title/tt0128954/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"12","http://www.imdb.com/title/tt0001587/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"13","http://www.imdb.com/title/tt1709630/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"14","http://www.imdb.com/title/tt0001964/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"15","http://www.imdb.com/title/tt0001604/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"16","http://www.imdb.com/title/tt0001240/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother, but the prince cannot decide whether or not he should take vengeance.
                
    Synopsis
    
                "
"17","http://www.imdb.com/title/tt0343378/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"18","http://www.imdb.com/title/tt0001630/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    Vacationing in Germany, May falls for boatman Max. Her father disapproves and during a night of romance between the young couple Max drowns.
                        
                            —Anonymous
                        
                
    Synopsis
    
                "
"19","http://www.imdb.com/title/tt0214226/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"20","http://www.imdb.com/title/tt0950614/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"21","http://www.imdb.com/title/tt0001515/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"22","http://www.imdb.com/title/tt0299498/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    Nothing got the Aussie adrenalin flowing in the early 1900's than some serious gold-fields drama.
                        
                            —Noel Bailey 
                        
                
    Synopsis
    
                "
"23","http://www.imdb.com/title/tt0001586/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"24","http://www.imdb.com/title/tt0169628/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"25","http://www.imdb.com/title/tt0001920/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"26","http://www.imdb.com/title/tt0001602/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"27","http://www.imdb.com/title/tt0001692/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"28","http://www.imdb.com/title/tt0001993/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    The body of a cook is brought to life by an electrician through the use of electrodes.
                        
                            —Charles Coulston
                        
                
    Synopsis
    
                "
"29","http://www.imdb.com/title/tt2276608/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"30","http://www.imdb.com/title/tt0461860/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"31","http://www.imdb.com/title/tt0350544/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    (Reel 1) Beamish McCoul joined the Irish insurrection and had become a leader in the movement when he was arrested and placed in Wicklow Jail. His property was confiscated by the authorities. When his followers learned of his imprisonment, they perfected a plot for his escape, which involved a rope, a fast horse and a boat to carry him from the country. Arrah Meelish, the prisoner's foster sister, volunteered to carry the idea of their plot to him. She approached the armed sentinels and begged permission to kiss her brother farewell, as the next day would bring about his execution. While kissing him a note was slipped from her mouth to his without being detected by the wardens. Later the guards were seized and Beamish made his escape from the prison, hurried to his sweetheart, Fanny Powers, bid her farewell and left for France. Four years Beamish spent in reckless exile, and, unable to endure it longer, returned to Ireland. He learned that Fanny was still true to him, having refused Colonel O'Grady, the magistrate, and her legal guardian. Beamish, on his arrival, quickly gathers together his old friends. He robs Michael Feeney, collector of the Government Clerk's Office, of his gold and banknotes and of his free pass across the mountain, because they had confiscated his property. Arrah, who has promised her hand to Shaun, a postman, secretes her foster brother in her barn and informs him of her imminent marriage. Beamish gives her as a wedding present a number of banknotes, which he robbed the collector of. Feeney, who is also a suitor for Arrah's hand, tells her that he suspects Shaun is the man who had robbed him. She is surprised and tells him she has plenty of money, at the same time showing him the banknotes which her foster brother gave her. These are recognized by the collector, who says nothing. The following day Shaun and Arrah are wed in the old barn in which Beamish is secluded. Major Coffin, an English officer, brings Colonel O'Grady information that a rebel had made a bold robbery and was at present secreted in Arrah's barn. They set out at once for her house, in company with Feeney, the informer, Fanny and soldiers. The gaiety is stopped and the searching party begins its work. Beamish makes his escape through a window, and. grasping a branch of a tree nearby, lowers himself to the ground and hurries away. Arrah is accused of harboring the rebel as Feeney had found McCoul's coat, which contains the mountain pass. Her husband takes the blame of Beamish's robbery, and says the coat is his. He is arrested and taken to prison. (Reel 2) Beamish goes to the place where he is supposed to meet his sweetheart. He is greatly distressed at not finding her there. As he sits in solitude, a messenger arrives with a letter from Fanny, saying that she had been at Arrah's cottage and knew all. He replies, stating that he has left for Dublin to visit the Secretary of State and secure, if possible, a pardon for Shaun. Fanny returns home and announces to Colonel O'Grady that she is now prepared to become his wife, but before their marriage he must obtain a pardon for the release of Shaun, who is ignorant of the whole affair. The colonel consents to do his best. Arrah is now seen at the prison, hopefully awaiting a word from her husband. Feeney enters Shaun's cell, accompanied by Fanny. Feeney starts to heap insults upon Arrah, and although Shaun's hands are tied, he pounces upon him, causing him to cry out for help. The guards order Feeney from the place. Fanny tells Shaun that she is going to denounce her affianced husband in order to save the postman from unjust punishment. Arrah, at this time, comes to the door and falls into her husband's arms and confesses that it was Beamish she had concealed in her barn. Everybody is ordered out of the room as the guards conduct Shaun into the courtroom to await trial. The verdict handed down is to the effect that Shaun must die the following day. (Reel 3) Beamish McCoul arrives at the Secretary of State in Dublin and proclaims his identity with a written confession of the affair. Colonel O'Grady arrives a few minutes later and the secretary hides McCoul behind the curtains, while O'Grady makes a plea for Shaun's release. The third person to put in an appearance is Fanny Powers, and the secretary conceals the Colonel in another place about the room. During her interview, the two men, each unconscious of the presence of the other, finding it impossible to restrain themselves longer, slip from their hiding places and confront the young woman. The old secretary reunites Beamish and his sweetheart, writes a pardon for Shaun, which he hands to the colonel, and the three depart on their missions. Meanwhile Shaun's hour approaches. Arrah climbs to the battlements of the castle in the hope of seeing her husband for the last time. Shaun discovers a loose stone in his cell, and with almost superhuman strength, breaks the barred window, thereby effecting his escape. Feeney meets Arrah upon the battlement and tries to induce her to forget Shaun and become his wife. She refuses. He is infuriated. In the meantime Shaun is stealthily climbing up the ivy on the outside of the jail, and when he reaches the top he enters into a fierce struggle with Feeney, who is finally overpowered and thrown into the waters below. At this moment the colonel, Beamish and Fanny arrive with Shaun's pardon. Beamish asks Shaun to pardon him for all the trouble he has caused him, which is joyfully granted, and the story ends showing Shaun placing his arms about his wife's neck.
                        
                            —Moving Picture World synopsis
                        
                
    Synopsis
    
                "
"32","http://www.imdb.com/title/tt0129322/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"33","http://www.imdb.com/title/tt0293219/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    A star player is kidnapped by the opposition. However, they are foiled by his girl-friend, just in time for him to get to the match and score the winning goal.
                        
                            —Anonymous
                        
                
    Synopsis
    
                "
"34","http://www.imdb.com/title/tt0001495/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"35","http://www.imdb.com/title/tt0241582/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"36","http://www.imdb.com/title/tt0324148/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"37","http://www.imdb.com/title/tt0001845/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"38","http://www.imdb.com/title/tt0210683/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"39","http://www.imdb.com/title/tt0001580/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    There are two men in Pierre de Marsan, the physician who has sworn the Hippocratic Oath and the man of honor. It is the latter who reacts brutally when he discovers his wife in the arms of his friend André. But after shooting at the two-timer and injuring him seriously, the doctor in Pierre resurfaces. Realizing that if nothing is done André is doomed to die, de Marsan does his duty and rescues his rival's life. But, ultimately, it is the man of honor who regains the upper hand : de Marsan refuses to forgive his former friend. However, still in love with the one that cheated on him, he does not kick his wife out. She now has no other solution but to expiate her sins.
                        
                            —Guy Bellinger
                        
                
    Synopsis
    
                "
"40","http://www.imdb.com/title/tt0001803/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"41","http://www.imdb.com/title/tt1254324/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"42","http://www.imdb.com/title/tt0346779/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    Story about an Irishman from an impoverished family, who can marry either a rich woman and thus save the family estate or his poor true love.
                
    Synopsis
    
                "
"43","http://www.imdb.com/title/tt0158486/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    Russia: A group of 19th century nihilists wants to change the system in czaristic Russia. They point out that conditions for prisoners are horrendous.
                        
                            —Arnoud Tiele (zelva@tiele.nl)
                        
                
    Synopsis
    
                "
"44","http://www.imdb.com/title/tt0131434/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"45","http://www.imdb.com/title/tt0343833/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"46","http://www.imdb.com/title/tt0001530/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"47","http://www.imdb.com/title/tt0220326/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"48","http://www.imdb.com/title/tt0248782/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"49","http://www.imdb.com/title/tt0184700/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"50","http://www.imdb.com/title/tt0331447/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"51","http://www.imdb.com/title/tt0202400/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"52","http://www.imdb.com/title/tt0001592/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"53","http://www.imdb.com/title/tt0282131/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"54","http://www.imdb.com/title/tt0250382/plotsummary?ref_=tt_stry_pl#synopsis",NA,"
    
                    There is no documentation that any film bearing this title was either produced or distributed by Biograph or General or directed by D.W. Griffith at this time. Production may have been suspended before completion or else the film may have been released under a different title. An entirely different film, The Flaming Arrows, was, however released by Pathe in 1911 (q.v.).
                        
                            —Jack Tillmany
                        
                
    Synopsis
    
                "
"55","http://www.imdb.com/title/tt0001812/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"56","http://www.imdb.com/title/tt0481901/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"57","http://www.imdb.com/title/tt0336238/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"58","http://www.imdb.com/title/tt0210810/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"59","http://www.imdb.com/title/tt0127054/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"60","http://www.imdb.com/title/tt0209132/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"61","http://www.imdb.com/title/tt0336776/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"62","http://www.imdb.com/title/tt0001826/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"63","http://www.imdb.com/title/tt0001889/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"64","http://www.imdb.com/title/tt0001780/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"65","http://www.imdb.com/title/tt0229216/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"66","http://www.imdb.com/title/tt0209243/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"67","http://www.imdb.com/title/tt0001475/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"68","http://www.imdb.com/title/tt0126923/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"69","http://www.imdb.com/title/tt0001911/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"70","http://www.imdb.com/title/tt0001569/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"71","http://www.imdb.com/title/tt0321557/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"72","http://www.imdb.com/title/tt0001610/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"73","http://www.imdb.com/title/tt0355432/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"74","http://www.imdb.com/title/tt0149922/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"75","http://www.imdb.com/title/tt0356637/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"76","http://www.imdb.com/title/tt0344145/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"77","http://www.imdb.com/title/tt0279071/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"78","http://www.imdb.com/title/tt1080900/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"79","http://www.imdb.com/title/tt0337235/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"80","http://www.imdb.com/title/tt0329646/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"81","http://www.imdb.com/title/tt0001555/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"82","http://www.imdb.com/title/tt3280828/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"83","http://www.imdb.com/title/tt0356391/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"84","http://www.imdb.com/title/tt0344544/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
"85","http://www.imdb.com/title/tt0336849/plotsummary?ref_=tt_stry_pl#synopsis",NA," for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.
            
    Synopsis
    
                "
